"","16-19","20-24","25-34","35-44","45-54","55-64","65+","value"
"1284",0,0,1,0,0,0,0,4
"1285",0,0,1,0,0,0,0,6
"1286",0,0,1,0,0,0,0,10
"1287",0,0,1,0,0,0,0,4
"1288",0,0,1,0,0,0,0,5
"1289",0,0,1,0,0,0,0,3
"1290",0,0,1,0,0,0,0,24
"1291",0,0,1,0,0,0,0,2
"1292",0,0,1,0,0,0,0,6
"1293",0,0,1,0,0,0,0,7
"1294",0,0,1,0,0,0,0,6
"1295",0,0,1,0,0,0,0,6
"1296",0,0,1,0,0,0,0,5
"1297",0,0,1,0,0,0,0,12
"1298",0,0,1,0,0,0,0,52
"1299",0,0,1,0,0,0,0,3
"1300",0,0,1,0,0,0,0,2
"1301",0,0,1,0,0,0,0,15
"1302",0,0,1,0,0,0,0,8
"1303",0,0,1,0,0,0,0,8
"1304",0,0,1,0,0,0,0,10
"1305",0,0,1,0,0,0,0,7
"1306",0,0,1,0,0,0,0,3
"1307",0,0,1,0,0,0,0,2
"1308",0,0,1,0,0,0,0,5
"1309",0,0,1,0,0,0,0,5
"1310",0,0,1,0,0,0,0,15
"1311",0,0,1,0,0,0,0,14
"1312",0,0,1,0,0,0,0,3
"1313",0,0,1,0,0,0,0,2
"1314",0,0,1,0,0,0,0,5
"1315",0,0,1,0,0,0,0,3
"1316",0,0,1,0,0,0,0,4
"1317",0,0,1,0,0,0,0,5
"1318",0,0,1,0,0,0,0,5
"1319",0,0,1,0,0,0,0,4
"1320",0,0,1,0,0,0,0,7
"1321",0,0,1,0,0,0,0,3
"1322",0,0,1,0,0,0,0,4
"1323",0,0,1,0,0,0,0,2
"1324",0,0,1,0,0,0,0,2
"1325",0,0,1,0,0,0,0,24
"1326",0,0,1,0,0,0,0,3
"1327",0,0,1,0,0,0,0,3
"1328",0,0,1,0,0,0,0,1
"1329",0,0,1,0,0,0,0,5
"1330",0,0,1,0,0,0,0,2
"1331",0,0,1,0,0,0,0,7
"1332",0,0,1,0,0,0,0,7
"1333",0,0,1,0,0,0,0,12
"1334",0,0,1,0,0,0,0,5
"1335",0,0,1,0,0,0,0,3
"1336",0,0,1,0,0,0,0,5
"1337",0,0,1,0,0,0,0,3
"1338",0,0,1,0,0,0,0,4
"1339",0,0,1,0,0,0,0,3
"1340",0,0,1,0,0,0,0,4
"1341",0,0,1,0,0,0,0,14
"1342",0,0,1,0,0,0,0,3
"1343",0,0,1,0,0,0,0,2
"1344",0,0,1,0,0,0,0,10
"1345",0,0,1,0,0,0,0,2
"1346",0,0,1,0,0,0,0,3
"1347",0,0,1,0,0,0,0,1
"1348",0,0,1,0,0,0,0,39
"1349",0,0,1,0,0,0,0,4
"1350",0,0,1,0,0,0,0,5
"1351",0,0,0,1,0,0,0,4
"1352",0,0,0,1,0,0,0,10
"1353",0,0,0,1,0,0,0,7
"1354",0,0,0,1,0,0,0,30
"1355",0,0,0,1,0,0,0,10
"1356",0,0,0,1,0,0,0,5
"1357",0,0,0,1,0,0,0,10
"1358",0,0,0,1,0,0,0,3
"1359",0,0,0,1,0,0,0,8
"1360",0,0,0,1,0,0,0,4
"1361",0,0,0,1,0,0,0,7
"1362",0,0,0,1,0,0,0,11
"1363",0,0,0,1,0,0,0,33
"1364",0,0,0,1,0,0,0,2
"1365",0,0,0,1,0,0,0,3
"1366",0,0,0,1,0,0,0,8
"1367",0,0,0,1,0,0,0,1
"1368",0,0,0,1,0,0,0,14
"1369",0,0,0,1,0,0,0,150
"1370",0,0,0,1,0,0,0,10
"1371",0,0,0,1,0,0,0,4
"1372",0,0,0,1,0,0,0,12
"1373",0,0,0,1,0,0,0,2
"1374",0,0,0,1,0,0,0,14
"1375",0,0,0,1,0,0,0,9
"1376",0,0,0,1,0,0,0,7
"1377",0,0,0,1,0,0,0,5
"1378",0,0,0,1,0,0,0,10
"1379",0,0,0,1,0,0,0,14
"1380",0,0,0,1,0,0,0,9
"1381",0,0,0,1,0,0,0,34
"1382",0,0,0,1,0,0,0,25
"1383",0,0,0,1,0,0,0,20
"1384",0,0,0,1,0,0,0,28
"1385",0,0,0,1,0,0,0,20
"1386",0,0,0,1,0,0,0,4
"1387",0,0,0,1,0,0,0,9
"1388",0,0,0,1,0,0,0,7
"1389",0,0,0,1,0,0,0,4
"1390",0,0,0,1,0,0,0,8
"1391",0,0,0,1,0,0,0,4
"1392",0,0,0,1,0,0,0,6
"1393",0,0,0,1,0,0,0,7
"1394",0,0,0,1,0,0,0,7
"1395",0,0,0,1,0,0,0,3
"1396",0,0,0,1,0,0,0,16
"1397",0,0,0,1,0,0,0,13
"1398",0,0,0,1,0,0,0,5
"1399",0,0,0,1,0,0,0,6
"1400",0,0,0,1,0,0,0,3
"1401",0,0,0,1,0,0,0,3
"1402",0,0,0,1,0,0,0,5
"1403",0,0,0,1,0,0,0,10
"1404",0,0,0,1,0,0,0,5
"1405",0,0,0,1,0,0,0,7
"1406",0,0,0,1,0,0,0,9
"1407",0,0,0,1,0,0,0,2
"1408",0,0,0,1,0,0,0,2
"1409",0,0,0,1,0,0,0,4
"1410",0,0,0,1,0,0,0,7
"1411",0,0,0,1,0,0,0,1
"1412",0,0,0,1,0,0,0,6
"1413",0,0,0,1,0,0,0,5
"1414",0,0,0,1,0,0,0,10
"1415",0,0,0,1,0,0,0,10
"1416",0,0,0,1,0,0,0,13
"1417",0,0,0,1,0,0,0,11
"1418",0,0,0,1,0,0,0,3
"1419",0,0,0,1,0,0,0,7
"1420",0,0,0,1,0,0,0,20
"1421",0,0,0,1,0,0,0,8
"1422",0,0,0,1,0,0,0,7
"1423",0,0,0,1,0,0,0,12
"1424",0,0,0,1,0,0,0,13
"1425",0,0,0,1,0,0,0,33
"1426",0,0,0,1,0,0,0,2
"1427",0,0,0,1,0,0,0,3
"1428",0,0,0,1,0,0,0,8
"1429",0,0,0,1,0,0,0,1
"1430",0,0,0,1,0,0,0,12
"1431",0,0,0,1,0,0,0,2
"1432",0,0,0,1,0,0,0,150
"1433",0,0,0,1,0,0,0,10
"1434",0,0,0,1,0,0,0,4
"1435",0,0,0,1,0,0,0,12
"1436",0,0,0,1,0,0,0,3
"1437",0,0,0,1,0,0,0,12
"1438",0,0,0,1,0,0,0,4
"1439",0,0,0,1,0,0,0,4
"1440",0,0,0,1,0,0,0,5
"1441",0,0,0,1,0,0,0,3
"1442",0,0,0,1,0,0,0,3
"1443",0,0,0,1,0,0,0,7
"1444",0,0,0,1,0,0,0,12
"1445",0,0,0,1,0,0,0,7
"1446",0,0,0,1,0,0,0,4
"1447",0,0,0,1,0,0,0,15
"1448",0,0,0,1,0,0,0,3
"1449",0,0,0,1,0,0,0,6
"1450",0,0,0,1,0,0,0,15
"1451",0,0,0,1,0,0,0,12
"1452",0,0,0,1,0,0,0,9
"1453",0,0,0,1,0,0,0,9
"1454",0,0,0,1,0,0,0,7
"1455",0,0,0,1,0,0,0,7
"1456",0,0,0,1,0,0,0,5
"1457",0,0,0,1,0,0,0,6
"1458",0,0,0,1,0,0,0,7
"1459",0,0,0,1,0,0,0,4
"1460",0,0,0,1,0,0,0,8
"1461",0,0,0,1,0,0,0,4
"1462",0,0,0,1,0,0,0,5
"1463",0,0,0,1,0,0,0,6
"1464",0,0,0,1,0,0,0,6
"1465",0,0,0,1,0,0,0,7
"1466",0,0,0,1,0,0,0,7
"1467",0,0,0,1,0,0,0,3
"1468",0,0,0,1,0,0,0,7
"1469",0,0,0,1,0,0,0,7
"1470",0,0,0,1,0,0,0,6
"1471",0,0,0,1,0,0,0,8
"1472",0,0,0,1,0,0,0,10
"1473",0,0,0,1,0,0,0,4
"1474",0,0,0,1,0,0,0,12
"1475",0,0,0,1,0,0,0,10
"1476",0,0,0,1,0,0,0,7
"1477",0,0,0,1,0,0,0,27
"1478",0,0,0,1,0,0,0,55
"1479",0,0,0,1,0,0,0,3
"1480",0,0,0,1,0,0,0,1
"1481",0,0,0,1,0,0,0,21
"1482",0,0,0,1,0,0,0,2
"1483",0,0,0,1,0,0,0,33
"1484",0,0,0,1,0,0,0,22
"1485",0,0,0,1,0,0,0,2
"1486",0,0,0,1,0,0,0,3
"1487",0,0,0,1,0,0,0,7
"1488",0,0,0,1,0,0,0,16
"1489",0,0,0,1,0,0,0,13
"1490",0,0,0,1,0,0,0,4
"1491",0,0,0,1,0,0,0,5
"1492",0,0,0,1,0,0,0,6
"1493",0,0,0,1,0,0,0,3
"1494",0,0,0,1,0,0,0,3
"1495",0,0,0,1,0,0,0,5
"1496",0,0,0,1,0,0,0,10
"1497",0,0,0,1,0,0,0,3
"1498",0,0,0,1,0,0,0,5
"1499",0,0,0,1,0,0,0,4
"1500",0,0,0,1,0,0,0,7
"1501",0,0,0,1,0,0,0,9
"1502",0,0,0,1,0,0,0,5
"1503",0,0,0,1,0,0,0,7
"1504",0,0,0,1,0,0,0,20
"1505",0,0,0,1,0,0,0,7
"1506",0,0,0,1,0,0,0,2
"1507",0,0,0,1,0,0,0,9
"1508",0,0,0,1,0,0,0,3
"1509",0,0,0,1,0,0,0,7
"1510",0,0,0,1,0,0,0,2
"1511",0,0,0,1,0,0,0,2
"1512",0,0,0,1,0,0,0,4
"1513",0,0,0,1,0,0,0,3
"1514",0,0,0,1,0,0,0,2
"1515",0,0,0,1,0,0,0,3
"1516",0,0,0,1,0,0,0,4
"1517",0,0,0,1,0,0,0,2
"1518",0,0,0,1,0,0,0,4
"1519",0,0,0,1,0,0,0,7
"1520",0,0,0,1,0,0,0,1
"1521",0,0,0,1,0,0,0,4
"1522",0,0,0,1,0,0,0,1
"1523",0,0,0,1,0,0,0,26
"1524",0,0,0,1,0,0,0,8
"1525",0,0,0,1,0,0,0,6
"1526",0,0,0,1,0,0,0,5
"1527",0,0,0,1,0,0,0,10
"1528",0,0,0,1,0,0,0,10
"1529",0,0,0,1,0,0,0,9
"1530",0,0,0,1,0,0,0,13
"1531",0,0,0,1,0,0,0,11
"1532",0,0,0,1,0,0,0,4
"1533",0,0,0,1,0,0,0,3
"1534",0,0,0,1,0,0,0,7
"1535",0,0,0,1,0,0,0,72
"1536",0,0,0,1,0,0,0,5
"1537",0,0,0,1,0,0,0,26
"1538",0,0,0,1,0,0,0,3
"1539",0,0,0,1,0,0,0,11
"1540",0,0,0,1,0,0,0,8
"1541",0,0,0,1,0,0,0,7
"1542",0,0,0,1,0,0,0,8
"1543",0,0,0,1,0,0,0,8
"1544",0,0,0,1,0,0,0,4
"1545",0,0,0,1,0,0,0,14
"1546",0,0,0,1,0,0,0,7
"1547",0,0,0,1,0,0,0,1
"1548",0,0,0,1,0,0,0,3
"1549",0,0,0,1,0,0,0,1
"1550",0,0,0,1,0,0,0,66
"1551",0,0,0,1,0,0,0,3
"1552",0,0,0,1,0,0,0,8
"1553",0,0,0,1,0,0,0,7
"1554",0,0,0,1,0,0,0,12
"1555",0,0,0,1,0,0,0,20
"1556",0,0,0,1,0,0,0,2
"1557",0,0,0,1,0,0,0,3
"1558",0,0,0,1,0,0,0,20
"1559",0,0,0,1,0,0,0,20
"1560",0,0,0,1,0,0,0,20
"1561",0,0,0,1,0,0,0,8
"1562",0,0,0,1,0,0,0,7
"1563",0,0,0,1,0,0,0,12
"1564",0,0,0,1,0,0,0,13
"1565",0,0,0,1,0,0,0,4
"1566",0,0,0,1,0,0,0,2
"1567",0,0,0,1,0,0,0,1
"1568",0,0,0,1,0,0,0,13
"1569",0,0,0,1,0,0,0,6
"1570",0,0,0,1,0,0,0,7
"1571",0,0,0,1,0,0,0,3
"1572",0,0,0,1,0,0,0,35
"1573",0,0,0,1,0,0,0,33
"1574",0,0,0,1,0,0,0,2
"1575",0,0,0,1,0,0,0,3
"1576",0,0,0,1,0,0,0,8
"1577",0,0,0,1,0,0,0,1
"1578",0,0,0,1,0,0,0,7
"1579",0,0,0,1,0,0,0,4
"1580",0,0,0,1,0,0,0,4
"1581",0,0,0,1,0,0,0,4
"1582",0,0,0,1,0,0,0,7
"1583",0,0,0,1,0,0,0,15
"1584",0,0,0,1,0,0,0,30
"1585",0,0,0,1,0,0,0,10
"1586",0,0,0,1,0,0,0,2
"1587",0,0,0,1,0,0,0,2
"1588",0,0,0,1,0,0,0,5
"1589",0,0,0,1,0,0,0,2
"1590",0,0,0,1,0,0,0,4
"1591",0,0,0,1,0,0,0,6
"1592",0,0,0,1,0,0,0,8
"1593",0,0,0,1,0,0,0,3
"1594",0,0,0,1,0,0,0,2
"1595",0,0,0,1,0,0,0,2
"1596",0,0,0,1,0,0,0,2
"1597",0,0,0,1,0,0,0,2
"1598",0,0,0,1,0,0,0,4
"1599",0,0,0,1,0,0,0,2
"1600",0,0,0,1,0,0,0,12
"1601",0,0,0,1,0,0,0,2
"1602",0,0,0,1,0,0,0,150
"1603",0,0,0,1,0,0,0,10
"1604",0,0,0,1,0,0,0,4
"1605",0,0,0,1,0,0,0,5
"1606",0,0,0,1,0,0,0,12
"1607",0,0,0,1,0,0,0,3
"1608",0,0,0,1,0,0,0,3
"1609",0,0,0,1,0,0,0,24
"1610",0,0,0,1,0,0,0,5
"1611",0,0,0,1,0,0,0,4
"1612",0,0,0,1,0,0,0,4
"1613",0,0,0,1,0,0,0,5
"1614",0,0,0,1,0,0,0,3
"1615",0,0,0,1,0,0,0,3
"1616",0,0,0,1,0,0,0,7
"1617",0,0,0,1,0,0,0,50
"1618",0,0,0,1,0,0,0,3
"1619",0,0,0,1,0,0,0,3
"1620",0,0,0,1,0,0,0,15
"1621",0,0,0,1,0,0,0,30
"1622",0,0,0,1,0,0,0,2
"1623",0,0,0,1,0,0,0,2
"1624",0,0,0,1,0,0,0,35
"1625",0,0,0,1,0,0,0,3
"1626",0,0,0,1,0,0,0,180
"1627",0,0,0,1,0,0,0,2
"1628",0,0,0,1,0,0,0,16
"1629",0,0,0,1,0,0,0,3
"1630",0,0,0,1,0,0,0,11
"1631",0,0,0,1,0,0,0,4
"1632",0,0,0,1,0,0,0,4
"1633",0,0,0,1,0,0,0,10
"1634",0,0,0,1,0,0,0,5
"1635",0,0,0,1,0,0,0,14
"1636",0,0,0,1,0,0,0,2
"1637",0,0,0,1,0,0,0,4
"1638",0,0,0,1,0,0,0,3
"1639",0,0,0,1,0,0,0,8
"1640",0,0,0,1,0,0,0,20
"1641",0,0,0,1,0,0,0,6
"1642",0,0,0,1,0,0,0,2
"1643",0,0,0,1,0,0,0,41
"1644",0,0,0,1,0,0,0,2
"1645",0,0,0,1,0,0,0,18
"1646",0,0,0,1,0,0,0,1
"1647",0,0,0,1,0,0,0,7
"1648",0,0,0,1,0,0,0,52
"1649",0,0,0,1,0,0,0,2
"1650",0,0,0,1,0,0,0,2
"1651",0,0,0,1,0,0,0,6
"1652",0,0,0,1,0,0,0,6
"1653",0,0,0,1,0,0,0,3
"1654",0,0,0,1,0,0,0,4
"1655",0,0,0,1,0,0,0,22
"1656",0,0,0,1,0,0,0,9
"1657",0,0,0,1,0,0,0,12
"1658",0,0,0,1,0,0,0,28
"1659",0,0,0,1,0,0,0,2
"1660",0,0,0,1,0,0,0,5
"1661",0,0,0,1,0,0,0,2
"1662",0,0,0,1,0,0,0,2
"1663",0,0,0,1,0,0,0,6
"1664",0,0,0,1,0,0,0,10
"1665",0,0,0,1,0,0,0,27
"1666",0,0,0,1,0,0,0,3
"1667",0,0,0,1,0,0,0,12
"1668",0,0,0,1,0,0,0,5
"1669",0,0,0,1,0,0,0,9
"1670",0,0,0,1,0,0,0,9
"1671",0,0,0,1,0,0,0,2
"1672",0,0,0,1,0,0,0,30
"1673",0,0,0,1,0,0,0,60
"1674",0,0,0,1,0,0,0,2
"1675",0,0,0,1,0,0,0,40
"1676",0,0,0,1,0,0,0,3
"1677",0,0,0,1,0,0,0,7
"1678",0,0,0,1,0,0,0,12
"1679",0,0,0,1,0,0,0,5
"1680",0,0,0,1,0,0,0,5
"1681",0,0,0,1,0,0,0,3
"1682",0,0,0,1,0,0,0,8
"1683",0,0,0,1,0,0,0,15
"1684",0,0,0,1,0,0,0,2
"1685",0,0,0,1,0,0,0,7
"1686",0,0,0,1,0,0,0,1
"1687",0,0,0,1,0,0,0,7
"1688",0,0,0,1,0,0,0,7
"1689",0,0,0,1,0,0,0,27
"1690",0,0,0,1,0,0,0,5
"1691",0,0,0,1,0,0,0,3
"1692",0,0,0,1,0,0,0,8
"1693",0,0,0,1,0,0,0,3
"1694",0,0,0,1,0,0,0,15
"1695",0,0,0,1,0,0,0,3
"1696",0,0,0,1,0,0,0,15
"1697",0,0,0,1,0,0,0,4
"1698",0,0,0,1,0,0,0,2
"1699",0,0,0,1,0,0,0,40
"1700",0,0,0,1,0,0,0,7
"1701",0,0,0,1,0,0,0,2
"1702",0,0,0,1,0,0,0,4
"1703",0,0,0,1,0,0,0,7
"1704",0,0,0,1,0,0,0,20
"1705",0,0,0,1,0,0,0,5
"1706",0,0,0,1,0,0,0,3
"1707",0,0,0,1,0,0,0,7
"1708",0,0,0,1,0,0,0,6
"1709",0,0,0,1,0,0,0,23
"1710",0,0,0,1,0,0,0,51
"1711",0,0,0,1,0,0,0,13
"1712",0,0,0,1,0,0,0,7
"1713",0,0,0,1,0,0,0,55
"1714",0,0,0,1,0,0,0,9
"1715",0,0,0,1,0,0,0,6
"1716",0,0,0,1,0,0,0,10
"1717",0,0,0,1,0,0,0,3
"1718",0,0,0,1,0,0,0,4
"1719",0,0,0,1,0,0,0,60
"1720",0,0,0,1,0,0,0,5
"1721",0,0,0,1,0,0,0,11
"1722",0,0,0,1,0,0,0,10
"1723",0,0,0,1,0,0,0,8
"1724",0,0,0,1,0,0,0,6
"1725",0,0,0,1,0,0,0,7
"1726",0,0,0,1,0,0,0,3
"1727",0,0,0,1,0,0,0,15
"1728",0,0,0,1,0,0,0,15
"1729",0,0,0,1,0,0,0,5
"1730",0,0,0,1,0,0,0,4
"1731",0,0,0,1,0,0,0,7
"1732",0,0,0,1,0,0,0,6
"1733",0,0,0,1,0,0,0,10
"1734",0,0,0,1,0,0,0,7
"1735",0,0,0,1,0,0,0,10
"1736",0,0,0,1,0,0,0,4
"1737",0,0,0,1,0,0,0,50
"1738",0,0,0,1,0,0,0,3
"1739",0,0,0,1,0,0,0,7
"1740",0,0,0,1,0,0,0,3
"1741",0,0,0,1,0,0,0,4
"1742",0,0,0,1,0,0,0,7
"1743",0,0,0,1,0,0,0,3
"1744",0,0,0,1,0,0,0,3
"1745",0,0,0,1,0,0,0,13
"1746",0,0,0,1,0,0,0,9
"1747",0,0,0,1,0,0,0,12
"1748",0,0,0,1,0,0,0,5
"1749",0,0,0,1,0,0,0,10
"1750",0,0,0,1,0,0,0,14
"1751",0,0,0,1,0,0,0,2
"1752",0,0,0,1,0,0,0,4
"1753",0,0,0,1,0,0,0,12
"1754",0,0,0,1,0,0,0,7
"1755",0,0,0,1,0,0,0,6
"1756",0,0,0,1,0,0,0,7
"1757",0,0,0,1,0,0,0,3
"1758",0,0,0,1,0,0,0,11
"1759",0,0,0,1,0,0,0,14
"1760",0,0,0,1,0,0,0,14
"1761",0,0,0,1,0,0,0,7
"1762",0,0,0,1,0,0,0,10
"1763",0,0,0,1,0,0,0,35
"1764",0,0,0,1,0,0,0,2
"1765",0,0,0,1,0,0,0,27
"1766",0,0,0,1,0,0,0,5
"1767",0,0,0,1,0,0,0,19
"1768",0,0,0,1,0,0,0,2
"1769",0,0,0,1,0,0,0,1
"1770",0,0,0,1,0,0,0,4
"1771",0,0,0,1,0,0,0,5
"1772",0,0,0,1,0,0,0,7
"1773",0,0,0,1,0,0,0,20
"1774",0,0,0,1,0,0,0,3
"1775",0,0,0,1,0,0,0,10
"1776",0,0,0,1,0,0,0,3
"1777",0,0,0,1,0,0,0,16
"1778",0,0,0,1,0,0,0,4
"1779",0,0,0,1,0,0,0,2
"1780",0,0,0,1,0,0,0,3
"1781",0,0,0,1,0,0,0,3
"1782",0,0,0,1,0,0,0,49
"1783",0,0,0,1,0,0,0,3
"1784",0,0,0,1,0,0,0,15
"1785",0,0,0,1,0,0,0,45
"1786",0,0,0,1,0,0,0,3
"1787",0,0,0,1,0,0,0,6
"1788",0,0,0,1,0,0,0,10
"1789",0,0,0,1,0,0,0,2
"1790",0,0,0,1,0,0,0,8
"1791",0,0,0,1,0,0,0,7
"1792",0,0,0,1,0,0,0,3
"1793",0,0,0,1,0,0,0,6
"1794",0,0,0,1,0,0,0,9
"1795",0,0,0,1,0,0,0,12
"1796",0,0,0,1,0,0,0,9
"1797",0,0,0,1,0,0,0,16
"1798",0,0,0,1,0,0,0,14
"1799",0,0,0,1,0,0,0,7
"1800",0,0,0,1,0,0,0,20
"1801",0,0,0,1,0,0,0,5
"1802",0,0,0,1,0,0,0,38
"1803",0,0,0,1,0,0,0,8
"1804",0,0,0,1,0,0,0,4
"1805",0,0,0,1,0,0,0,9
"1806",0,0,0,1,0,0,0,7
"1807",0,0,0,1,0,0,0,12
"1808",0,0,0,1,0,0,0,3
"1809",0,0,0,1,0,0,0,41
"1810",0,0,0,1,0,0,0,15
"1811",0,0,0,1,0,0,0,3
"1812",0,0,0,1,0,0,0,53
"1813",0,0,0,1,0,0,0,10
"1814",0,0,0,1,0,0,0,16
"1815",0,0,0,1,0,0,0,20
"1816",0,0,0,1,0,0,0,3
"1817",0,0,0,1,0,0,0,13
"1818",0,0,0,1,0,0,0,18
"1819",0,0,0,1,0,0,0,4
"1820",0,0,0,1,0,0,0,2
"1821",0,0,0,1,0,0,0,3
"1822",0,0,0,1,0,0,0,4
"1823",0,0,0,1,0,0,0,1
"1824",0,0,0,1,0,0,0,60
"1825",0,0,0,1,0,0,0,6
"1826",0,0,0,1,0,0,0,2
"1827",0,0,0,1,0,0,0,30
"1828",0,0,0,1,0,0,0,2
"1829",0,0,0,1,0,0,0,18
"1830",0,0,0,1,0,0,0,8
"1831",0,0,0,1,0,0,0,6
"1832",0,0,0,1,0,0,0,5
"1833",0,0,0,1,0,0,0,9
"1834",0,0,0,1,0,0,0,7
"1835",0,0,0,1,0,0,0,6
"1836",0,0,0,1,0,0,0,25
"1837",0,0,0,1,0,0,0,8
"1838",0,0,0,1,0,0,0,2
"1839",0,0,0,1,0,0,0,5
"1840",0,0,0,1,0,0,0,5
"1841",0,0,0,1,0,0,0,3
"1842",0,0,0,1,0,0,0,2
"1843",0,0,0,1,0,0,0,10
"1844",0,0,0,1,0,0,0,7
"1845",0,0,0,1,0,0,0,7
"1846",0,0,0,1,0,0,0,8
"1847",0,0,0,1,0,0,0,20
"1848",0,0,0,1,0,0,0,6
"1849",0,0,0,1,0,0,0,3
"1850",0,0,0,1,0,0,0,3
"1851",0,0,0,1,0,0,0,6
"1852",0,0,0,1,0,0,0,19
"1853",0,0,0,1,0,0,0,61
"1854",0,0,0,1,0,0,0,4
"1855",0,0,0,1,0,0,0,5
"1856",0,0,0,1,0,0,0,8
"1857",0,0,0,1,0,0,0,10
"1858",0,0,0,1,0,0,0,14
"1859",0,0,0,1,0,0,0,3
"1860",0,0,0,1,0,0,0,3
"1861",0,0,0,1,0,0,0,8
"1862",0,0,0,1,0,0,0,2
"1863",0,0,0,1,0,0,0,51
"1864",0,0,0,1,0,0,0,5
"1865",0,0,0,1,0,0,0,32
"1866",0,0,0,1,0,0,0,8
"1867",0,0,0,1,0,0,0,8
"1868",0,0,0,1,0,0,0,8
"1869",0,0,0,1,0,0,0,10
"1870",0,0,0,1,0,0,0,4
"1871",0,0,0,1,0,0,0,2
"1872",0,0,0,1,0,0,0,3
"1873",0,0,0,1,0,0,0,2
"1874",0,0,0,1,0,0,0,2
"1875",0,0,0,1,0,0,0,14
"1876",0,0,0,1,0,0,0,15
"1877",0,0,0,1,0,0,0,4
"1878",0,0,0,1,0,0,0,5
"1879",0,0,0,1,0,0,0,5
"1880",0,0,0,1,0,0,0,6
"1881",0,0,0,1,0,0,0,7
"1882",0,0,0,1,0,0,0,3
"1883",0,0,0,1,0,0,0,20
"1884",0,0,0,1,0,0,0,90
"1885",0,0,0,1,0,0,0,7
"1886",0,0,0,1,0,0,0,3
"1887",0,0,0,1,0,0,0,4
"1888",0,0,0,1,0,0,0,3
"1889",0,0,0,1,0,0,0,1
"1890",0,0,0,1,0,0,0,6
"1891",0,0,0,1,0,0,0,6
"1892",0,0,0,1,0,0,0,6
"1893",0,0,0,1,0,0,0,3
"1894",0,0,0,1,0,0,0,2
"1895",0,0,0,1,0,0,0,8
"1896",0,0,0,1,0,0,0,13
"1897",0,0,0,1,0,0,0,15
"1898",0,0,0,1,0,0,0,3
"1899",0,0,0,1,0,0,0,4
"1900",0,0,0,1,0,0,0,3
